,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
12395.0,22633,22866,22086,85099B,22910,22470,22867,22197,22865,22469,84029G,22423,22961,84879,21479,22112,22745,22585,22666,22557
12431.0,84029G,22633,22086,22666,22867,85123A,22423,22745,84375,22910,22632,84029E,22114,82494L,22748,21479,21485,21871,21539,22865
12433.0,22961,22557,22956,22386,22554,22659,84692,22585,21080,84879,22633,22813,22865,22534,85099B,22962,22553,21328,20725,20727
12472.0,22077,22940,22960,21914,22816,22568,22141,22144,22242,22963,22837,85049E,22964,22629,22750,22910,22975,22968,22593,22147
12567.0,22633,20725,85049E,22382,21892,20726,84029G,22632,22554,22174,22441,22961,20750,20749,82494L,21539,84879,22383,84991,22867
12583.0,22961,22866,85099B,22585,22867,22633,22865,22386,22553,22616,22659,22557,22469,22960,22745,84879,22423,20685,22534,22197
12647.0,22961,22940,20685,20971,21731,20727,22147,22383,84375,22865,22629,22386,22077,22568,22750,22141,22749,20972,22963,22733
12662.0,22940,22961,85049E,22077,84029G,22197,22910,22633,22750,22749,22568,22867,22866,20727,22968,22144,22960,20967,22837,22147
12682.0,84029G,22633,82494L,22632,22867,82486,22423,21871,85123A,22086,84029E,37370,15056BL,22910,21730,82482,21068,22727,22752,84375
12720.0,22961,22077,84879,20724,84692,22386,22557,22960,21080,85099B,22328,22659,20728,22554,21238,20727,21328,22988,22568,22962
12725.0,21470,85034A,47422,21287,85078,79337,20661,84760S,22396,20832,85034C,84031A,21932,84360,21465,37464,84569B,90128B,90151,22115
12738.0,22961,22423,22386,22867,22633,22865,84029G,84375,22745,22960,22077,22585,20727,22910,22086,21080,22866,22197,22666,85099B
12748.0,22469,22866,22809,21034,21830,20725,22633,20754,22810,84836,M,21786,62018,85099B,35471D,85178,22441,22100,21650,22694
12763.0,22961,22633,22632,22865,22866,22956,22469,82494L,21506,22551,20685,20725,22554,22585,20963,22867,21673,22411,21156,20727
12838.0,22866,22961,22633,22940,22910,22867,22865,22197,22423,22086,85099B,22750,22745,22960,85049E,84029G,21479,22470,22585,22748
12841.0,22961,22086,22633,22423,84029G,84375,22865,22867,82494L,22666,21733,22386,85123A,22866,22910,15056BL,22745,20727,22632,84029E
12868.0,22086,84029E,79321,82494L,22746,21485,21871,84375,15056N,21481,15056BL,37370,22727,84029G,22632,22637,22112,22111,22752,85123A
12915.0,22781,85049D,72816,20956,22168,21218,47422,20957,21061,22331,22396,85034A,20661,21126,22043,84826,90128B,79337,22503,21703
12921.0,22866,22910,22086,22633,22961,22470,85099B,22867,22197,22940,22865,22745,22750,22423,22568,84029G,21479,22112,22748,20972
12947.0,22633,22585,22866,22086,22469,22961,22867,22423,85099B,22114,22745,21479,22632,22557,22865,84029E,22666,22553,22943,21156
12967.0,20724,22973,22077,84692,22976,22328,22960,21238,22636,22962,21218,22917,21080,21430,84985A,22333,22916,22963,21239,85049D
13013.0,84879,22557,22633,22423,22659,22910,22952,22086,85099B,22585,22909,84029G,84692,22813,21967,21121,22470,21212,22666,22386
13034.0,47591B,20659,21789,21620,21424,20768,22081,21643,90214S,20780,47422,90214J,22476,22136,22135,37461,21616,22260,79337,21629
13047.0,22423,22910,84029G,22585,22633,22752,22909,22086,22866,82486,22745,22114,22867,84879,22111,84029E,22112,21484,22748,22961
13065.0,21071,82494L,82483,84406B,22632,21871,84029E,15056BL,37370,15056N,21670,21730,22752,22727,22113,82486,21673,22637,22188,71053
13069.0,22633,22867,84029G,22910,22866,22961,22865,22197,85049E,22750,85099B,22470,22940,22423,22086,85123A,20726,20967,22968,22077
13081.0,22866,22940,22086,20967,22470,22865,22910,22750,85099B,22469,22197,22961,22753,22867,22570,22568,20971,21731,22141,21931
13093.0,20668,70007,22492,22418,21914,22075,79321,21363,22572,22845,22623,22622,22150,22746,22592,22909,85032D,22910,85071C,22144
13117.0,22077,22568,20724,22960,22383,21238,22197,22961,20728,22759,22328,22749,22147,85049E,21738,22902,20727,22274,85099B,84347
13138.0,22910,22940,20967,22197,22086,22470,22866,22750,22633,84029G,85049E,22568,22968,85099B,22077,22147,22749,22961,22867,22837
13174.0,70007,82486,84029E,22113,22752,21871,21363,22727,21485,22121,21481,22114,22622,22746,79321,22632,21670,21673,22405,21484
13269.0,22633,84029G,22086,22910,22423,22867,22866,22745,22961,22585,22632,22470,84029E,22865,84375,82494L,22748,22112,21479,22111
13370.0,22910,22423,84029G,22745,22909,22748,22867,22114,22086,22585,84375,22633,22960,22952,22666,84029E,84879,21485,22968,22386
13402.0,84029G,82486,22423,22568,22570,22086,82494L,22910,22077,22837,84375,15056BL,22968,37370,20972,22745,20750,22749,20914,22144
13408.0,22633,84029G,22086,22866,22867,22910,22423,22632,82494L,22865,85123A,22961,22470,84029E,84375,22469,22112,22666,22585,22745
13418.0,22910,22633,84029G,22866,22867,22423,22086,22470,22197,85099B,22745,22961,22568,22865,22960,22748,84879,22750,22940,22077
13448.0,22633,22086,84029G,22866,22910,22867,22632,82494L,22423,22112,84029E,22470,22111,85123A,21479,22865,22469,21871,22752,22745
13468.0,82494L,15056BL,22086,82483,22637,15056N,84406B,79321,84029E,37370,21871,22727,82486,71053,85123A,82482,21258,21730,22752,84029G
13506.0,22910,84029G,22086,22423,22867,22633,22745,22940,22961,22866,84375,22748,22968,22865,22960,22470,22750,22077,22197,22144
13576.0,82494L,84029G,84406B,82483,22633,82486,21871,22112,85123A,71053,15056BL,37370,22121,21068,22086,22752,21730,82482,21754,15056N
13715.0,82494L,22633,22086,82483,84029G,15056N,22112,21754,15056BL,84406B,22752,85123A,20974,22866,37370,22111,82486,22470,82482,21730
13758.0,22633,22961,22867,22632,22086,22585,22666,22423,22114,84029E,82494L,22745,22386,22411,84029G,84375,21484,22727,21156,22943
