0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
84992,22208,22210,22543,22539,21975,22417,22951,22925,21976,21216,21213,84991,85136C,85170D,20684,22422,35965,21380,85216,22285
22355,79321,84352,84971S,21672,22139,22948,22944,22246,35967,22261,84832,72801C,72801D,21557,22176,84685,21495,21917,72351A,20910
85099B,21931,22386,22866,22095,21864,84997D,22197,84050,21329,22374,22663,15056P,84536B,84596G,22742,22153,85099C,85231B,21110,20973
22551,22555,22554,22557,22556,79144B,22310,22553,22895,21592,84949,22481,85124B,22092,22615,22614,22435,21915,21916,21914,22956
21975,21063,21976,84992,21126,72232,84993B,85183B,85071B,84519A,22417,21061,21062,21358,85049D,22805,22773,72598,21977,21494,85135C
21976,22186,72232,84993B,22695,35591T,21975,22951,21358,22580,21986,22529,72598,84992,21977,21494,85135C,22807,85049H,22952,22321
85014B,85014A,22465,21677,35961,21011,37489D,22133,21379,21377,21828,84212,22132,37489B,21465,37489A,37489C,21932,47503J,37464,84247N
21791,22069,85036C,22695,85170D,35591T,17164B,21324,22313,21826,21790,22134,22949,21622,22621,35004G,84077,22841,22548,22941,22196
21622,35004G,22195,22196,22193,85014B,21791,35004C,22941,21509,22536,21498,84992,84946,21508,21507,22023,21872,22452,22453,90210B
22941,22942,22845,47504H,22622,84692,22550,21664,21014,22946,21462,22943,22783,21810,22449,22699,21791,22816,22825,22514,22349
35004C,22176,82613B,84563B,21557,22261,71270,22262,37444C,37444A,22139,84854,22778,22775,84563A,47580,21672,21934,22774,84865,21033
21622,35004G,22195,22196,22193,85014B,21791,35004C,22941,21509,22536,21498,84992,84946,21508,21507,22023,21872,22452,22453,90210B
22193,22192,22728,22727,84924A,22684,82011B,D,35241,22649,22878,21630,22676,22460,21622,22191,35810B,16161P,22060,22877,22869
22196,22195,21833,22256,21922,22255,22478,22479,22491,22796,22559,79191C,47471,16046,85036C,22949,22525,22134,22524,85170D,22514
22195,22196,22491,22134,85170D,16046,47471,79191C,22559,22796,22949,84658,21640,21690,85036C,35004G,21471,21622,72818,22375,20733
21873,22842,22547,22539,22543,21520,22814,21983,22444,22615,22092,22614,22716,22544,21984,22315,22494,82600,22540,22567,22094
22553,22906,21967,22557,22953,21677,22100,22435,22181,35471D,22554,21427,35953,22350,85144,20764,72799F,21357,84051,21392,47579
22544,22540,22842,21873,22547,22614,22814,21983,22444,21520,22539,22092,22543,22044,22615,21360,22716,22494,21883,82600,21724
22555,22556,21984,22551,21967,21981,22557,20766,21268,21357,20697,20699,21873,85144,21392,22842,22561,22671,21032,21426,21714
22899,22315,21984,21967,21981,21030,21032,21578,22350,21399,35591T,20766,21873,21392,21268,85144,22561,21357,21468,22385,22547
21156,16014,21651,85172,20777,16016,84050,22095,15056P,22480,20774,22152,85169B,22367,21232,22646,10133,72800E,21864,22315,21586
22554,21981,21984,21786,22551,21982,22553,22561,21983,22615,22614,17107D,22181,85124B,21830,22899,22557,84827,22807,22562,21559
22539,22543,22422,22547,21873,10135,22331,22842,35965,85136C,20684,21213,84992,22615,22614,22444,22208,22210,20677,21218,22064
22092,21794,22642,22760,21873,21292,22643,21111,22547,20707,21123,22842,20772,22905,22241,21520,22575,21804,22152,22099,22539
22539,22543,22422,22547,21873,10135,22331,22842,35965,85136C,20684,21213,84992,22615,22614,22444,22208,22210,20677,21218,22064
21520,21518,22419,21355,22842,84674,21070,21873,22547,21506,22092,22543,22717,22037,21069,22023,22814,22444,22539,22614,22615
21506,21508,21520,22023,21509,21507,22030,21498,21519,22716,22530,21518,22842,85015,21873,22027,21070,84674,22819,85016,21355
22716,85015,22842,22706,85016,22178,22714,22610,21873,22547,21506,21210,22539,22092,22543,21832,22614,21520,22615,21983,22814
22866,20866,90200D,90200B,90059B,90059E,90059C,90200A,90200C,22500,21816,21814,10125,85095,21815,90185C,85231B,22742,22153,22945,85231G
22632,22803,71053,21068,21730,37370,21871,84029E,82486,82483,21071,84406B,22752,82482,84029G,22633,82494L,85123A,20679,22411,15056BL
