0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
158,29,47,87,155,166,194,6,88,129,85,199,34,66,107,15,100,173,122,73,43
117,191,31,158,98,57,29,15,194,100,173,122,73,43,44,175,53,64,28,79,7
25,176,177,80,3,59,110,118,40,19,63,147,7,161,74,22,170,57,29,15,96
19,177,147,9,25,194,158,57,29,15,100,173,122,73,43,175,98,53,31,64,28
103,107,55,123,5,1,62,72,73,122,173,158,43,15,29,57,100,194,53,175,98
14,90,132,54,158,98,57,29,15,194,100,173,122,73,43,44,175,53,31,64,28
174,99,24,143,12,40,106,164,36,73,74,9,34,29,15,194,100,173,57,158,44
63,118,59,61,44,7,22,25,15,194,57,100,173,122,73,43,29,158,98,53,31
197,58,182,66,158,24,98,57,29,15,194,100,173,122,73,43,44,175,53,31,64
60,140,160,119,86,100,161,144,61,173,122,73,43,194,15,44,29,175,158,53,31
144,86,160,140,60,163,119,189,100,8,49,147,161,175,54,61,173,122,73,43,44
72,46,107,181,165,106,103,62,100,173,43,122,73,15,29,194,44,31,53,57,64
42,169,90,88,7,164,182,199,61,122,173,158,194,29,57,98,100,15,44,43,24
132,14,15,65,38,90,21,31,62,54,194,29,173,57,98,122,73,100,44,24,175
111,39,4,93,198,74,158,57,29,15,194,100,173,122,73,43,44,175,53,31,64
79,134,158,98,57,29,15,194,100,173,122,73,43,44,175,53,31,64,28,7,88
61,44,63,140,169,86,119,160,60,100,164,42,7,88,161,199,182,144,73,173,122
74,143,198,4,93,99,39,80,40,36,111,73,174,25,170,7,98,57,29,96,15
39,4,93,198,111,74,158,57,29,15,194,100,173,122,73,43,44,175,53,31,64
182,169,69,197,88,7,58,164,42,199,66,61,15,122,100,57,173,98,194,29,158
90,14,42,132,54,158,98,57,29,15,194,100,173,122,73,43,175,24,53,31,64
66,85,47,87,155,171,197,57,29,73,129,53,58,22,78,199,182,158,4,189,15
15,65,38,21,31,132,62,98,57,29,194,100,173,122,73,43,158,24,53,64,28
58,197,167,6,182,66,122,173,100,158,194,15,29,57,98,73,43,175,24,53,31
